,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
64,It's a Sin,(2021),TV-MA,239 min,"Comedy, Drama, History",8.7,Not Available,"22,100"
65,Anne Boleyn,(2021– ),Not Available,60 min,"Drama, History",3.9,Not Available,"21,990"
66, Loki,(2021– ),TV-14,51 min,"Action, Adventure, Fantasy",8.8,Not Available,"21,908"
67, WandaVision,(2021),TV-PG,30 min,"Action, Comedy, Drama",7.5,Not Available,"21,702"
68,Redemption Day,(2021),R,99 min,"Action, Drama, Thriller",6.4,22,"21,550"
69,Fatherhood,(2021),PG-13,109 min,"Comedy, Drama",6.7,53,"20,864"
70, WandaVision,(2021),TV-PG,35 min,"Action, Comedy, Drama",8.9,Not Available,"20,608"
71, WandaVision,(2021),TV-PG,37 min,"Action, Comedy, Drama",7.8,Not Available,"20,540"
72, WandaVision,(2021),TV-14,42 min,"Action, Comedy, Drama",9.1,Not Available,"20,277"
73,Space Sweepers,(2021),TV-MA,136 min,"Action, Adventure, Drama",6.6,64,"20,006"
74,Moxie,(2021),PG-13,111 min,"Comedy, Drama, Music",6.7,54,"19,954"
75,Night Stalker: The Hunt for a Serial Killer,(2021),TV-MA,189 min,"Documentary, Crime, Mystery",7.5,Not Available,"19,592"
76,Bad Trip,(2021),Unrated,86 min,Comedy,6.6,61,"19,327"
77, WandaVision,(2021),TV-PG,33 min,"Action, Comedy, Drama",8.2,Not Available,"18,935"
78, Loki,(2021– ),TV-14,53 min,"Action, Adventure, Fantasy",9.0,Not Available,"18,921"
79,The Innocent,(2021),TV-MA,467 min,"Crime, Drama, Mystery",7.9,Not Available,"18,481"
80,Yes Day,(2021),PG,86 min,"Comedy, Family",5.7,46,"18,420"
81,To All the Boys: Always and Forever,(2021),TV-14,109 min,"Comedy, Drama, Romance",6.3,65,"18,408"
82, WandaVision,(2021),TV-PG,47 min,"Action, Comedy, Drama",9.0,Not Available,"18,183"
83, WandaVision,(2021),TV-PG,50 min,"Action, Comedy, Drama",8.4,Not Available,"18,081"
84,Wrong Turn,(2021),R,109 min,"Horror, Thriller",5.5,46,"17,932"
85,Infinite,(2021),PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,28,"17,740"
86, WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama",8.9,Not Available,"17,649"
87, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9.3,Not Available,"16,889"
88, WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama",8.5,Not Available,"16,497"
89, Loki,(2021– ),TV-14,48 min,"Action, Adventure, Fantasy",9.3,Not Available,"16,427"
90, Loki,(2021– ),TV-14,42 min,"Action, Adventure, Fantasy",7.9,Not Available,"16,231"
91,Firefly Lane,(2021– ),TV-MA,Not Available,"Drama, Romance",7.4,Not Available,"16,228"
92,The Marksman,(2021),PG-13,108 min,"Action, Drama, Thriller",5.6,44,"15,833"
93,Superman and Lois,(2021– ),TV-14,42 min,"Action, Adventure, Drama",7.9,Not Available,"15,782"
94,Karnan,(2021),Not Available,158 min,"Action, Drama",8.3,Not Available,"15,770"
95,Below Zero,(2021),TV-MA,106 min,"Action, Adventure, Crime",6.2,Not Available,"15,677"
96,Willy's Wonderland,(2021),TV-MA,88 min,"Action, Comedy, Horror",5.6,44,"15,555"
97, The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama",7.7,Not Available,"15,371"
98,The Nevers,(2021– ),TV-MA,58 min,"Action, Drama, Fantasy",7.4,Not Available,"14,876"
99,The Map of Tiny Perfect Things,(2021),PG-13,98 min,"Comedy, Fantasy, Romance",6.8,61,"14,863"
100,Awake,(III) (2021),TV-MA,96 min,"Action, Adventure, Drama",4.8,35,"14,835"
101,Crime Scene: The Vanishing at the Cecil Hotel,(2021),TV-MA,219 min,"Documentary, Crime, Mystery",5.9,Not Available,"14,807"
102,The Ice Road,(2021),PG-13,109 min,"Action, Adventure, Drama",5.5,42,"14,466"
103, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"14,081"
104, The Falcon and the Winter Soldier,(2021),TV-14,53 min,"Action, Adventure, Drama",8.8,Not Available,"13,933"
105,Clarkson's Farm,(2021– ),TV-PG,45 min,Documentary,9.3,Not Available,"13,930"
106,Bliss,(I) (2021),R,103 min,"Drama, Romance, Sci-Fi",5.3,40,"13,896"
107,The Hitman's Wife's Bodyguard,(2021),R,100 min,"Action, Comedy, Crime",6.3,32,"13,777"
108,Them,(2021– ),TV-MA,45 min,"Drama, Horror, Thriller",7.3,Not Available,"13,690"
109, The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama",7.9,Not Available,"13,305"
110, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",8.9,Not Available,"13,092"
111, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9.8,Not Available,"13,086"
112,Haseen Dillruba,(2021),TV-MA,135 min,"Crime, Drama, Mystery",6.9,Not Available,"12,603"
113,The Irregulars,(2021),TV-14,Not Available,"Crime, Drama, Fantasy",5.9,Not Available,"12,350"
114, The Falcon and the Winter Soldier,(2021),TV-14,51 min,"Action, Adventure, Drama",8.0,Not Available,"12,329"
115, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"12,307"
116, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9.1,Not Available,"12,093"
117,Wish Dragon,(2021),PG,98 min,"Animation, Adventure, Comedy",7.2,59,"12,082"
118, The Falcon and the Winter Soldier,(2021),TV-14,49 min,"Action, Adventure, Drama",7.8,Not Available,"11,683"
119,The Big Bull,(2021),Not Available,153 min,"Biography, Crime, Drama",6.1,Not Available,"11,675"
120,Dota: Dragon's Blood,(2021– ),TV-MA,25 min,"Animation, Action, Adventure",8.0,Not Available,"11,643"
121, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9.2,Not Available,"11,522"
122, The Falcon and the Winter Soldier,(2021),TV-14,57 min,"Action, Adventure, Drama",8.0,Not Available,"11,516"
123,Star Wars: The Bad Batch,(2021– ),TV-PG,Not Available,"Animation, Action, Adventure",8.3,Not Available,"11,423"
124, Loki,(2021– ),TV-14,48 min,"Action, Adventure, Fantasy",9.2,Not Available,"11,405"
125, Attack on Titan,(2013–2022),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"11,364"
126,Red Dot,(2021),TV-MA,86 min,"Drama, Horror, Thriller",5.5,Not Available,"11,311"
127,The Unholy,(2021),PG-13,99 min,"Drama, Horror, Mystery",5.0,36,"11,185"
128,The One,(2021– ),TV-MA,Not Available,"Crime, Drama, Sci-Fi",6.6,Not Available,"10,594"
129,Deadly Illusions,(2021),R,114 min,"Drama, Thriller",3.7,Not Available,"10,347"
130,Vakeel Saab,(2021),TV-14,153 min,"Action, Crime, Drama",7.8,Not Available,"10,199"
131,Who Killed Sara?,(2021– ),TV-MA,Not Available,"Crime, Drama, Mystery",6.4,Not Available,"10,066"
132,Paper Lives,(2021),TV-MA,96 min,Drama,6.7,Not Available,"9,976"
133,The United States vs. Billie Holiday,(2021),R,126 min,"Biography, Drama, Music",6.3,52,"9,829"
134,Tribes of Europa,(2021– ),TV-MA,Not Available,"Action, Adventure, Drama",6.8,Not Available,"9,773"
135,Halston,(2021),TV-MA,240 min,"Biography, Drama",7.5,Not Available,"9,639"
136,Jagame Thandhiram,(2021),TV-MA,158 min,"Action, Crime, Drama",6.0,Not Available,"9,639"
137,Voyagers,(2021),PG-13,108 min,"Adventure, Sci-Fi, Thriller",5.4,44,"9,554"
138,Stuck Apart,(2021),TV-MA,96 min,"Comedy, Drama",6.1,Not Available,"9,398"
139,The Vault,(2021),R,118 min,"Action, Adventure, Thriller",6.4,50,"9,357"
140,Harga,(2021– ),Not Available,Not Available,Drama,9.7,Not Available,"9,309"
141,No Sudden Move,(2021),R,115 min,"Crime, Drama, Mystery",6.6,77,"9,233"
142,Iste Bu Benim Masalim,(2021),Not Available,40 min,"Musical, Romance",1.4,Not Available,"9,232"
143,Barb and Star Go to Vista Del Mar,(2021),PG-13,107 min,Comedy,6.4,64,"8,972"
144,Fear Street: Part Two - 1978,(2021),R,109 min,"Drama, Horror, Mystery",6.8,61,"8,770"
145,Time,(2021– ),Not Available,59 min,"Crime, Drama",8.4,Not Available,"8,745"
146,Locked Down,(I) (2021),R,118 min,"Comedy, Crime, Romance",5.2,42,"8,570"
